--------- beginning of /dev/log/system
01-01 08:00:02.852 I/Vold    ( 1569): Vold 2.1 (the revenge) firing up
01-01 08:00:02.853 D/Vold    ( 1569): [-vold_debug-85] :the service.vold.status is Normal
01-01 08:00:02.853 D/Vold    ( 1569): [-vold_debug-122] :defaultVolume = /storage/emulated/0 
01-01 08:00:02.853 D/Vold    ( 1569): [-vold_debug-139] :bind mount /mnt/sdcard to /storage/emulated/0 ok !
01-01 08:00:02.853 D/VoldCmdListener( 1569): [-vold_debug-785] :IsoMountCmd created!
01-01 08:00:02.872 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram9'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'MINOR=9'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram9'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.872 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/loop0'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'MAJOR=7'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'MINOR=0'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'DEVNAME=loop0'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.872 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.873 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/loop1'
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'MAJOR=7'
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'MINOR=1'
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'DEVNAME=loop1'
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.873 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/loop2'
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'MAJOR=7'
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'MINOR=2'
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'DEVNAME=loop2'
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.873 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/loop3'
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'MAJOR=7'
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'MINOR=3'
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'DEVNAME=loop3'
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.873 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/loop4'
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'MAJOR=7'
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'MINOR=4'
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'DEVNAME=loop4'
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.873 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.873 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.874 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/loop5'
01-01 08:00:02.874 D/NetlinkEvent( 1569): NL param 'MAJOR=7'
01-01 08:00:02.874 D/NetlinkEvent( 1569): NL param 'MINOR=5'
01-01 08:00:02.874 D/NetlinkEvent( 1569): NL param 'DEVNAME=loop5'
01-01 08:00:02.874 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.874 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.874 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.874 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/loop6'
01-01 08:00:02.874 D/NetlinkEvent( 1569): NL param 'MAJOR=7'
01-01 08:00:02.874 D/NetlinkEvent( 1569): NL param 'MINOR=6'
01-01 08:00:02.874 D/NetlinkEvent( 1569): NL param 'DEVNAME=loop6'
01-01 08:00:02.874 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.874 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.874 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.875 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/loop7'
01-01 08:00:02.875 D/NetlinkEvent( 1569): NL param 'MAJOR=7'
01-01 08:00:02.875 D/NetlinkEvent( 1569): NL param 'MINOR=7'
01-01 08:00:02.875 D/NetlinkEvent( 1569): NL param 'DEVNAME=loop7'
01-01 08:00:02.875 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.875 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.875 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.875 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram10'
01-01 08:00:02.875 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.875 D/NetlinkEvent( 1569): NL param 'MINOR=10'
01-01 08:00:02.875 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram10'
01-01 08:00:02.875 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.875 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.875 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.876 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram11'
01-01 08:00:02.876 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.876 D/NetlinkEvent( 1569): NL param 'MINOR=11'
01-01 08:00:02.876 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram11'
01-01 08:00:02.876 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.876 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.876 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.876 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram12'
01-01 08:00:02.876 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.876 D/NetlinkEvent( 1569): NL param 'MINOR=12'
01-01 08:00:02.876 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram12'
01-01 08:00:02.876 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.876 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.876 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.877 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram13'
01-01 08:00:02.877 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.877 D/NetlinkEvent( 1569): NL param 'MINOR=13'
01-01 08:00:02.877 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram13'
01-01 08:00:02.877 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.877 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.877 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.877 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram14'
01-01 08:00:02.877 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.877 D/NetlinkEvent( 1569): NL param 'MINOR=14'
01-01 08:00:02.877 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram14'
01-01 08:00:02.877 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.877 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.877 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.877 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/ram15'
01-01 08:00:02.877 D/NetlinkEvent( 1569): NL param 'MAJOR=1'
01-01 08:00:02.877 D/NetlinkEvent( 1569): NL param 'MINOR=15'
01-01 08:00:02.877 D/NetlinkEvent( 1569): NL param 'DEVNAME=ram15'
01-01 08:00:02.877 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.877 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.877 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.878 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/virtual/block/zram0'
01-01 08:00:02.878 D/NetlinkEvent( 1569): NL param 'MAJOR=254'
01-01 08:00:02.878 D/NetlinkEvent( 1569): NL param 'MINOR=0'
01-01 08:00:02.878 D/NetlinkEvent( 1569): NL param 'DEVNAME=zram0'
01-01 08:00:02.878 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.878 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.878 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.878 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0rpmb'
01-01 08:00:02.878 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.878 D/NetlinkEvent( 1569): NL param 'MINOR=24'
01-01 08:00:02.878 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0rpmb'
01-01 08:00:02.878 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.878 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.878 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.879 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0boot0'
01-01 08:00:02.879 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.879 D/NetlinkEvent( 1569): NL param 'MINOR=8'
01-01 08:00:02.879 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0boot0'
01-01 08:00:02.879 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.879 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.879 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.879 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0boot1'
01-01 08:00:02.879 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.879 D/NetlinkEvent( 1569): NL param 'MINOR=16'
01-01 08:00:02.879 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0boot1'
01-01 08:00:02.879 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.879 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.879 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.880 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0'
01-01 08:00:02.880 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.880 D/NetlinkEvent( 1569): NL param 'MINOR=0'
01-01 08:00:02.880 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0'
01-01 08:00:02.880 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.880 D/NetlinkEvent( 1569): NL param 'NPARTS=20'
01-01 08:00:02.880 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.880 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p1'
01-01 08:00:02.880 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.880 D/NetlinkEvent( 1569): NL param 'MINOR=1'
01-01 08:00:02.880 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0p1'
01-01 08:00:02.880 D/NetlinkEvent( 1569): NL param 'DEVTYPE=partition'
01-01 08:00:02.880 D/NetlinkEvent( 1569): NL param 'PARTN=1'
01-01 08:00:02.880 D/NetlinkEvent( 1569): NL param 'PARTNAME=fastboot'
01-01 08:00:02.880 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p2'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'MINOR=2'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0p2'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVTYPE=partition'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'PARTN=2'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'PARTNAME=bootargs'
01-01 08:00:02.885 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p3'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'MINOR=3'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0p3'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVTYPE=partition'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'PARTN=3'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'PARTNAME=recovery'
01-01 08:00:02.885 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p4'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'MINOR=4'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0p4'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVTYPE=partition'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'PARTN=4'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'PARTNAME=deviceinfo'
01-01 08:00:02.885 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p5'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'MINOR=5'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0p5'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVTYPE=partition'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'PARTN=5'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'PARTNAME=baseparam'
01-01 08:00:02.885 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p6'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'MINOR=6'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0p6'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVTYPE=partition'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'PARTN=6'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'PARTNAME=pqparam'
01-01 08:00:02.885 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p7'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'MINOR=7'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0p7'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVTYPE=partition'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'PARTN=7'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'PARTNAME=logo'
01-01 08:00:02.885 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p8'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'MAJOR=259'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'MINOR=0'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0p8'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVTYPE=partition'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'PARTN=8'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'PARTNAME=logobak'
01-01 08:00:02.885 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p9'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'MAJOR=259'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'MINOR=1'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0p9'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVTYPE=partition'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'PARTN=9'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'PARTNAME=fastplay'
01-01 08:00:02.885 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0rpmb'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'MINOR=24'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0rpmb'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.885 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.885 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
